Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
0d5a42c4c5cc8ab0ab94201636c24e41cac8927b,Fix #54 ec2.DHCPOptions NTPservers -> NtpServers,375fce776eb61c4ce5418e83cd44c37c88cf46af,False,"CHANGELOG.md, ec2.py"
9a85aa3e6807483275514b2c92f1f2814afe2ea2,"Allow Ref() in NetworkInterfaceProperty GroupSet list

This fixes #56 a different way than the pull request.",a53ebefe2442af513cc80ac519532a9b177635a3,False,ec2.py
abbb86da66d6a4a7c8c301252485ce4aa1d2f056,Fix #51: RecordSets in Route53 not formatted correctly,9a85aa3e6807483275514b2c92f1f2814afe2ea2,False,"Route53_RoundRobin.template, route53.py"
7d246516b3e79d33126606b79d2c839cf105f958,"Add OpenStack native resource types

We also duplicate the AWS AutoScalingGroup type due to an issue
with integer/string handling differences between AWS and the
OpenStack compatibility layer",00f538e1018d68454c5ecc22629e5bd73ccd1556,False,"heat.py, neutron.py, nova.py"
dec4874ad0143c9759bad91a02d675efea1316a3,Fix our test to reflect the ASG name change,5d7b40eb10bfa227168f8b1f4fbc5b9e233a3122,False,OpenStack_AutoScaling.py
c1037fde45b144328d88a93adedca2a6e6acb749,Merge branch 'fix-rds-vpc-example' of https://github.com/timmow/troposphere into timmow-fix-rds-vpc-example,"937ace6fa577c4e0b57d1fbc9fc88560186794b5, e3a72e9a3dcf7a9797f879ed9a75e8ef740a63c1",True,
f7b136ba6cbb1a62415f73c75c45cf135fe46205,Fix pep8 error (due to pep8 1.5.1 change),7a557a5680f6336987a23e9ab4c45e3e95cbd2dd,False,__init__.py
717f5f16c8cd712f7bb4a8b7710caee6ec381c3c,Minor pep8 E251 fixes in 3 example files,f7b136ba6cbb1a62415f73c75c45cf135fe46205,False,"ElasticBeanstalk_Python_Sample.py, SQS_With_CloudWatch_Alarms.py, WaitObject.py"
3622170663f6e3cbfaa794b88244696432c2d762,"Fix resource.name backward compatibility regression

Changes around 'name' atrributes were needed of the OpenStack feature.
This fix restores the use of 'resource.name' for non-OpenStack usage.",717f5f16c8cd712f7bb4a8b7710caee6ec381c3c,False,"test_basic.py, __init__.py"
ad6bf7ea36fc8e0a2a9b93e7090d9b14c0ad466d,"Allow Ref() in VPNGatewayRoutePropagation RouteTableIds list

This fixes #73 a different way than the pull request.",c7baf93b5c8ddce65cd080178e41146c52ababbe,False,"CHANGELOG.md, ec2.py"
bd61d76348fa46bf221d715ec9ed1e3f767d8536,"Patching Users class to use basestring or Ref type for Groups and not Groups type.
See: https://github.com/cloudtools/troposphere/issues/78",89e2d6a744e241e9ccd2e0191cfa1ed3e15a7fe0,False,iam.py
3ba44e8374e0387145731647166bbe9b296e19d6,Fixed line length issue with pep8.,17d10dbddf772c69025273db79899c303d1feace,False,autoscaling.py
aee6c3337f32e96cf8adefcba951859b6d627436,Fixed logic issue.,3ba44e8374e0387145731647166bbe9b296e19d6,False,autoscaling.py
fb85bc29e57a5bb9df38266eb1771fe981a86536,Add CloudFront CacheBehavior (fixes #86),ad82f96c2d9c48b5a3309757471668e490432816,False,cloudfront.py
a57c35743cca3dfeb236dd410bc2c87669d5cfaf,"Add AutoScalingGroup TerminationPolicies (fix #77, fix #87)",fb85bc29e57a5bb9df38266eb1771fe981a86536,False,autoscaling.py
352bc81e0e3178cbf9ca2890652357de7bee4ff2,Tweak UpdatePolicy properties (fixes #88),a57c35743cca3dfeb236dd410bc2c87669d5cfaf,False,__init__.py
b626cd4018f61e7cfbe46fd8706b223d5b66031d,"Tweaks to rds.DNInstance (fixes #89)

- AllocatedStorage and BackupRetentionPeriod are positive_integer
- Port is network_port
- Add AllowMajorVersionUpgrade",352bc81e0e3178cbf9ca2890652357de7bee4ff2,False,rds.py
a2a0e3a269f4a5f47a58c63c7d9a367f85c3223d,Tweaks to EC2 DeviceIndex property values (fixes #90),b626cd4018f61e7cfbe46fd8706b223d5b66031d,False,ec2.py
5b144e358ecab3da3cda01170871b43aea9cd22d,Fix #92,bac76897d9ed335e9dc8bf169409204e7e6539dd,False,autoscaling.py
9f4e0c40cb596c3bd9d3ef8447457945d6fee69c,"Merge pull request #103 from jcoleman/fix-opsworks-stack-custom-json

Opworks CustomJson property expects a JSON object not a string.","ef037bfc95b2af2e5663b95ab9d51a9307fa17e2, 5ab184b9bd6b7dfda8259d42a2268bff1c3e6766",True,
b85fbab9380056c2f430faf5c9207681574565e3,Fix #91,db49f2815e4bdc5364ce6cbb295ddeb6ef36f83f,False,route53.py
2a2dc64551fe50485617177f3ed36cdf38250ab4,removing whitespace to fix travis.ci build,14dad704a93bbf63c0829072a84b390b3ad6cdff,False,cloudformation.py
cca0acfb53d19e7ee302ccaaa8dd3941d2a45b4d,Bugfix: Or helper function was not constructing the correct condition,63ab8763886242853b7ae17c3ee7fd3bde8d9dda,False,"EC2Conditions.template, __init__.py"
8aa3d207d504f8ed2ca4f3b8210f77f645df7d42,Print a nice error if an incorrect property is set on AWSProperty (which doesn't have a 'type').,63ab8763886242853b7ae17c3ee7fd3bde8d9dda,False,__init__.py
41bf42da4c681fe0a5ef5f98267023ac71bd664b,Fix pep8 error.,1ce31c697db050e36462dcaac54a0ee97ca92056,False,__init__.py
ff656ad09041c6bba4fa8cf7dd52721fcaf979bd,"Merge pull request #122 from oliviervg1/or_patch

Bugfix: Or helper function was not constructing the correct condition","63ab8763886242853b7ae17c3ee7fd3bde8d9dda, cca0acfb53d19e7ee302ccaaa8dd3941d2a45b4d",True,
4c8f448098ff2b743d8d2de274c0dd644d9fe149,Add unit tests for 'type' AttributeError fixes.,76f2bbf37e2d266998f8eedf885a3fbfac46bef6,False,test_basic.py
298564169ec159fa739e36bf5b2fa69c97afede7,Merge branch 'fix-type-attribute-errors' of github.com:jcoleman/troposphere into jcoleman-fix-type-attribute-errors,"94c1a61038d8a99614ddf740b76e676f85389378, 4c8f448098ff2b743d8d2de274c0dd644d9fe149",True,
f79843a63ba4b8414430c3333d41fef66363fcb4,"Make test python3 compatible

python3's AttributeError doesn't have a 'message'.  Instead you have to
grab that from the args.  Fortunately python2 has args as well.

Tested in both versions, seems to pass.",298564169ec159fa739e36bf5b2fa69c97afede7,False,test_basic.py
8b9ac7093e82f708162d37fd347d3a4c4213b63d,"Merge pull request #124 from jcoleman/cloudfront-fixes

Cloudfront fixes","f79843a63ba4b8414430c3333d41fef66363fcb4, 1d048355f570b1d36a4af22893357fc4da0b8f76",True,
6d4e9bd280eb132fd64ceca850dee3e13a0a8573,"Allow FindInMap to be used with ec2.NetworkInterfaceProperty.GroupSet

Fixes #128. Note: may need to think about how to address this in a
more generic way instead of specifying on a per-property approach.",4bfd6902058503ee3de130d85eb24613081e2e87,False,ec2.py
71404d4f7c102c20568abc42f6886f86937ba391,"Fix DBSecurityGroupIngress required props

http://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-resource-rds-security-group-ingress.html

You can use one of the following sets of properties:
1. CIDRIP
2. EC2-VPC: EC2SecurityGroupId
3. EC2-Classic: EC2SecurityGroupName AND EC2SecurityGroupOwnerId",24e99cea1594dcddd9b9920ed24cb67676ae7415,False,rds.py
47d574c941889f278108fb6a186f356b2c7469c3,"Merge pull request #134 from jstrunk/patch-1

Fix DBSecurityGroupIngress required props","24e99cea1594dcddd9b9920ed24cb67676ae7415, 71404d4f7c102c20568abc42f6886f86937ba391",True,
06afca51de34f9e7abd23204c95433af2c6e730c,Fixing ValueError message to refer the correct package,28732055b294b94de940a72a39edb72ea850a05b,False,cloudformation.py
928ddc1bd501de8a9cc88731b42e93f18fd6d057,"Merge pull request #135 from robzienert/fix-value-error-msg

Fixing ValueError message to refer the correct package","28732055b294b94de940a72a39edb72ea850a05b, 06afca51de34f9e7abd23204c95433af2c6e730c",True,
1a1ec05ce9fb48dfbb0362aebbb779e8ba92f3f6,Fixes duplicate key error reporting,ef63069b455ca43fc0d63166e7c3d678ba0838a5,False,__init__.py
655f8b86e681f040271a165c927a6d36d05e2648,"Merge pull request #145 from shadone/duplicate_key_reporting

Fixes duplicate key error reporting","ef63069b455ca43fc0d63166e7c3d678ba0838a5, 1a1ec05ce9fb48dfbb0362aebbb779e8ba92f3f6",True,
2fa701c1d090a5df8e839fbeabf41a9b6efa3967,Fix warning in description,1ec0b60bca0c667612add4eab5ca25abe091ce94,False,CloudFront_S3.py
7068743aef02d883424f2dae93bd671547a9b483,Fix test and corrected minor white space issue,2fa701c1d090a5df8e839fbeabf41a9b6efa3967,False,"CloudFront_S3.py, CloudFront_S3.template"
b9a9470c2d3dff9f667d4a44545bd93ddfd6cd89,"Merge pull request #148 from ChristopherHackett/patch-1

Fix warning in description","1ec0b60bca0c667612add4eab5ca25abe091ce94, 7068743aef02d883424f2dae93bd671547a9b483",True,
81f3d8ef505ba115587faea12831636ce25aad07,When detecting invalid resource name print it as part of the error message,b9a9470c2d3dff9f667d4a44545bd93ddfd6cd89,False,__init__.py
ba79e8f310f1a9b05c5fc5f23450e5a5c23da38f,"Fix tests, remove EOL whitespace",7d9a7124d86939b6219343946464d66cc806209e,False,"CloudFront_S3.template, DynamoDB_Table.template, EC2Conditions.template, EC2InstanceSample.template, ELBSample.template, ElasticBeanstalk_Python_Sample.template, IAM_Policies_SNS_Publish_To_SQS.template, IAM_Users_Groups_and_Policies.template, IAM_Users_snippet.template, Kinesis_Stream.template, OpenStack_AutoScaling.template, OpenStack_Server.template, OpsWorksSnippet.template, RDS_VPC.template, RDS_with_DBParameterGroup.template, Redshift.template, RedshiftClusterInVpc.template, Route53_A.template, Route53_CNAME.template, Route53_RoundRobin.template, S3_Bucket.template, S3_Bucket_With_Versioning.template, S3_Website_Bucket_With_Retain_On_Delete.template, SQSDLQ.template, SQS_With_CloudWatch_Alarms.template, VPC_EC2_Instance_With_Multiple_Dynamic_IPAddresses.template, VPC_With_VPN_Connection.template, WaitObject.template"
1db70ffcc6d9ce03ab2c5d47fcfe0be6cb3ca2ef,fix pep8,a17aa438bb0d9da3c17a85754f2cd77cd364ce16,False,cloudformation.py
c8081d95968d1c0934f594d04250c053afccae02,fix test output,1db70ffcc6d9ce03ab2c5d47fcfe0be6cb3ca2ef,False,OpenStack_AutoScaling.template
d893c4f1ed1f6827b1458c907df1d907fc4e140f,"Merge pull request #153 from iblazevic/metadata_fixes

more metadata options","b01e6e1a2e7c3a6f83eaa643796a89d68abd325f, 7101e664fbb1274fd25a0b8b8a97608d7915d192",True,
0f490b7adc1efa2c0cbbad5b5daf606acf0fe5fc,"Fixed CreationPolicy

Added AWSAttribute class
Switched CreationPolicy and UpdatePolicy to use AWS Attribute class
Added unit tests for CreationPolicy and UpdatePolicy",f9c2b6222df108c3919fdcf15b42dbc6f7ab3eeb,False,"test_policies.py, __init__.py, policies.py"
dacaaea8c326ed4353f3c51cc949335322f1b809,"Merge pull request #160 from robzienert/feature/policies

Fix CreationPolicy support","f9c2b6222df108c3919fdcf15b42dbc6f7ab3eeb, 0f490b7adc1efa2c0cbbad5b5daf606acf0fe5fc",True,
f5fcef94867338dfd4973d8c32759fe19277493f,Clean up pep8/flake8 errors,676044cecb4959653bb03534531ef746ce667160,False,"DynamoDB_Table.py, DynamoDB_Table_With_GlobalSecondaryIndex.py, dynamodb.py"
6b5e2e921798daa0849f65fd2c5bfe85e057722d,Fix python 3 issue,0afb21ccb50a71163f2ef444392785d3f70f2e4c,False,DynamoDB_Table_With_GlobalSecondaryIndex.py
a16965b5e157456ea5aa218a0293aad61cf5c602,"Merge pull request #170 from cloudtools/landscape

Fix some issues found by landscape.io","f1db719910a99a40fbaf1d6d6d148f0f6cbd5cd2, 45a11dd150dc5b03dc65c186675add83ed0e32f3",True,
ff60832912f79a4a32ea5131e07469600969eeb6,Fixing UpdatePolicy validation,5f159d781d3c6a42a541889637ccbae346ac0681,False,"Autoscaling.py, test_basic.py, test_policies.py, autoscaling.py"
411a327f33cae0b21712a11f747d223d6183e825,"Fixes #158

Makes InstanceId and LaunchConfigurationName mutually exclusive, and
conditionally requires one or the other.

http://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-properties-as-group.html#cfn-as-group-instanceid",5f159d781d3c6a42a541889637ccbae346ac0681,False,autoscaling.py
af784bd557935f3c7102cec22f2f2967e5b2ae25,"Merge pull request #174 from cloudtools/gh-158

Fixes #158","5f159d781d3c6a42a541889637ccbae346ac0681, 2f563b264a4cc131a531f2fd2ab445abb0f3cd8d",True,
a81bb7c9c35454e1a0ae876cfa5f35c75f7bc272,Merge branch 'fix-update-policy' of https://github.com/robzienert/troposphere into gh-173,"af784bd557935f3c7102cec22f2f2967e5b2ae25, ff60832912f79a4a32ea5131e07469600969eeb6",True,
cea3dca7a097316629b5669ce6168eee2564edcb,PEP8 fix,5456c266b09442375de46a26c4ed498bda64e4d7,False,__init__.py
c49ddf82963ceebad8ecbd56f68ba190fb929629,"Merge pull request #179 from mbrossard/helper-list-fix

Support AWS helper functions in lists during validation","13edb3a102c1db2f152f6e5d47e20983ee337dc4, cea3dca7a097316629b5669ce6168eee2564edcb",True,
3485ce3d385c1f06c1795e3d596ec0c52d181754,Fixing RedshiftClusterInVpc example; incorrect SG setup,7da59f86646da67bc5f934f1b80d4937fd3791ed,False,"RedshiftClusterInVpc.py, RedshiftClusterInVpc.template"
3379827a48ca6b99be861831f6b97473259c4e70,"Merge pull request #186 from robzienert/gh-107

Fixing RedshiftClusterInVpc example; incorrect SG setup","7da59f86646da67bc5f934f1b80d4937fd3791ed, 3485ce3d385c1f06c1795e3d596ec0c52d181754",True,
1ea802bb6a203df8e0f81ffc1fdbbec0e634aa4a,"Fix inconsitencies with ElasticBeanstalk API

Things changed, a bunch it seems.  This is not done - as well as
changing the API, they got rid of the python example template entirely,
so we'll need to write an entirely new template.  Ugh.",b19454cac8513b98c7730a43295c21aeb0adf30f,False,elasticbeanstalk.py
ffb6fcf0b1b84c0ffa60f0dc2f88a28ab2c9f7f5,"Use correct IAM policy type

Was using the Property, not the Resource, which broke.  Fixed, updated
the example output.",b529bb39b2d92b4770e9becc4ce6901e9aa53fd3,False,"ElasticBeanstalk_Nodejs_Sample.py, ElasticBeanstalk_Nodejs_Sample.template"
07d2a3bc738f2b54ecc293bade4da28c985f9148,"Merge pull request #214 from cloudtools/fix_iam_policy_property

Clear up Policy Resource vs Policy Property","95379c1bef3a01c6a424e55b0012d4c904dc98c8, 7c792abab5335b42880083cbcfb36092462d1fba",True,
50f7d2421754c8712462b5422c6bfbd23a47d12c,"Add interim MinimumProtocolVersion to CloudFront ViewerCertificate

Fixes #218",9938fa98d03154fd2ee5750552e52e96ecdfe7a9,False,"CHANGELOG.md, cloudfront.py"
a7d8ec706d629daace14a98703a06798fba680cb,"Fix DBInstance constraints in order to allow the creation of RDS read-only replicas.
 - Based on (http://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-properties-rds-database-instance.html#cfn-rds-dbinstance-sourcedbinstanceidentifier) BackupRetentionPeriod, DBName, MasterUsername, MasterUserPassword, PreferredBackupWindow, MultiAZ and DBSnapshotIdentifier can't be present when SourceDBInstanceIdentifier is specified.
 - Although CloudFormation validator doesn't fail, manual tests have proven that DBSubnetGroupName can't be present if SourceDBInstanceIdentifier is specified.",50f7d2421754c8712462b5422c6bfbd23a47d12c,False,"test_rds.py, rds.py"
02ef36ffe5d75e54fb963496bd263632ec110728,Fix pep8 errors,a7d8ec706d629daace14a98703a06798fba680cb,False,"test_rds.py, rds.py"
2d96c1e7ec0c936467387e622bec31591a5abf60,Fix typo,02ef36ffe5d75e54fb963496bd263632ec110728,False,rds.py
0ea34aebf22e384dbb51a805ce0f6d0f27ddb111,Fix tests my making the order of invalid_properties deterministic,2d96c1e7ec0c936467387e622bec31591a5abf60,False,"test_rds.py, rds.py"
b98c0b8f5c23e1949c152f5e3d5dea97d9eac003,"Merge pull request #221 from jorgebastida/bug/rds-replicas

Fix DBInstance constraints in order to allow the creation of RDS read-only replicas","eda9f7c2d236c3b8e81d6b6648c9cae1d7e3e52b, 0ea34aebf22e384dbb51a805ce0f6d0f27ddb111",True,
b6a1890508b0fb031cf91935260544a08080fe42,Fix Ref import,7030b51da6f899eb25ed2103ba8d1be171f9a5a8,False,rds.py
